 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,5356,0,0,0,24384682,4552.779,0,4266.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6846,0,0,0,21903452,3199.453,0,2570.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5266,0,0,0,19526996,3708.127,0,3522.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2233,0,0,0,2883966,1291.521,0,1214.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8063,0,0,0,14079219,1746.151,0,1726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4872,0,0,0,8435043,1731.331,0,1719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5811,0,0,0,10073408,1733.507,0,1720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5327,0,0,0,8837928,1659.082,0,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
