"","Geneid","2i_counts","S_counts"
"3278","Ak3l2-ps",1351.5,240
"3279","Ak4",9502,1547
"3280","Ak5",6,45
"3281","Ak6",532,727
"3282","Ak7",299.5,84
"3283","Ak8",23,29
"3284","Ak9",10.5,4.5
"3285","Akain1",0,0.5
"3286","Akap1",7509,3506
"3287","Akap10",1190,1233.5
"3288","Akap11",1976,2219
"3289","Akap12",25622,24702
"3290","Akap13",833.5,1309
"3291","Akap14",2,0
"3292","Akap17b",492.5,496.5
"3293","Akap3",0,4.5
"3294","Akap4",0,0.5
"3295","Akap5",75,497.5
"3296","Akap6",5.5,6.5
"3297","Akap7",386.5,428
"3298","Akap8",6572.5,5592.5
"3299","Akap8l",1602.5,1436.5
"3300","Akap9",1129.5,1552.5
"3301","Akip1",302,304
"3302","Akirin1",1280.5,1082.5
"3303","Akirin1-ps",69.5,57.5
"3304","Akirin2",1855.5,2047.5
"3305","Akna",296.5,305
"3306","Aknad1",0,0
"3307","Aknaos",0,0
"3308","Akp-ps1",1.5,1
"3309","Akp3",6,1.5
"3310","Akr1a1",7978,8890
"3311","Akr1b10",258,461
"3312","Akr1b3",1298.5,1886.5
"3313","Akr1b7",10.5,8
"3314","Akr1b8",193.5,137
"3315","Akr1c12",0.5,0.5
"3316","Akr1c13",5,5.5
"3317","Akr1c14",0,21
"3318","Akr1c18",2,16.5
"3319","Akr1c19",89,108
"3320","Akr1c20",0,0
"3321","Akr1c21",0.5,2
"3322","Akr1c6",0,0
"3323","Akr1cl",12.5,4
"3324","Akr1d1",1,1
"3325","Akr1e1",195,221.5
"3326","Akr7a5",864.5,645.5
"3327","Akt1",1278.5,3032.5
"3328","Akt1s1",1394,1549
"3329","Akt2",2352.5,1229.5
"3330","Akt2-ps",1183.5,681
"3331","Akt3",281.5,1076
"3332","Aktip",923,970
"3333","AL589679.1",0,0
"3334","AL590864.1",0,0.5
"3335","AL590969.1",0,0
"3336","AL590997.1",0,0
"3337","AL590997.2",0,0
"3338","AL590997.3",0,0
"3339","AL590997.4",0,0
"3340","AL592080.1",0,0
"3341","AL592545.1",0,0
"3342","AL606917.1",0,0
"3343","AL606971.1",0,0
"3344","AL607073.1",0,0
"3345","AL607142.1",0,0
"3346","AL627257.1",0,0
"3347","AL627302.1",0,0
"3348","AL645467.1",0,0
"3349","AL645473.1",0,0
"3350","AL645535.1",0,0
"3351","AL645799.1",0,0
"3352","AL645861.1",5,15
"3353","AL646049.1",0,0.5
"3354","AL663045.1",0.5,0.5
"3355","AL670227.1",0,0
"3356","AL671118.1",0,2
"3357","AL671885.1",4,1.5
"3358","AL683809.1",0,0
"3359","AL731706.1",0,0
"3360","AL731706.2",0,0
"3361","AL731831.1",0,0
"3362","AL732291.1",0,0
"3363","AL732295.1",0,0
"3364","AL732309.1",0,0.5
"3365","AL732466.1",0,0
"3366","AL772212.1",0,0
"3367","AL772407.1",0,0
"3368","AL805980.1",5.5,2
"3369","AL807811.1",0,0
"3370","AL831766.1",9.5,0
"3371","AL845162.1",0,0
"3372","AL845275.1",0,0
"3373","AL928616.1",1.5,1.5
"3374","AL928616.2",0,0
"3375","AL928965.1",0.5,0.5
"3376","AL929275.1",0,0
"3377","AL929555.1",0,0
"3378","AL935121.1",3,1.5
"3379","AL954352.1",0,0
"3380","Alad",1275,1260.5
"3381","Alas1",827,1136.5
"3382","Alas2",3,13
"3383","Alb",0,0
"3384","Albfm1",0,2
"3385","Alcam",43,160
"3386","Aldh16a1",2030,1285
"3387","Aldh18a1",2576.5,1359.5
"3388","Aldh1a1",1,10
"3389","Aldh1a2",249.5,97
"3390","Aldh1a3",84,49.5
"3391","Aldh1a7",0.5,10
"3392","Aldh1b1",243.5,141.5
"3393","Aldh1l1",1893.5,195
"3394","Aldh1l2",118,21
"3395","Aldh2",7198,4947.5
"3396","Aldh3a1",121,17
"3397","Aldh3a2",1320.5,815.5
"3398","Aldh3b1",49.5,40.5
"3399","Aldh3b2",22,15
"3400","Aldh3b3",12.5,9
"3401","Aldh4a1",1052.5,1033.5
"3402","Aldh5a1",269.5,345
"3403","Aldh6a1",1117.5,658
"3404","Aldh7a1",2603.5,3320.5
"3405","Aldh8a1",0.5,0.5
"3406","Aldh9a1",1644.5,2867.5
"3407","Aldoa",31059,28961.5
"3408","Aldoa-ps3",78,87
"3409","Aldoa-ps4",701.5,649
"3410","Aldoart1",2142.5,2093
"3411","Aldoart2",241,211
"3412","Aldob",1,0
"3413","Aldoc",797,486
"3414","Alg1",450.5,433.5
"3415","Alg10b",1790,2591
"3416","Alg11",955,772.5
"3417","Alg12",275.5,220
"3418","Alg13",16433.5,10798
"3419","Alg14",213.5,331.5
"3420","Alg2",893,653.5
"3421","Alg3",640,507
"3422","Alg5",588.5,514
"3423","Alg6",791.5,614.5
"3424","Alg8",209.5,284.5
"3425","Alg9",607,587.5
"3426","Alk",18.5,13
"3427","Alkal1",0,3
"3428","Alkal2",0,1.5
"3429","Alkbh1",1279,1001
"3430","Alkbh2",311.5,184
"3431","Alkbh3",374.5,293.5
"3432","Alkbh3os1",6,6
"3433","Alkbh4",249,218
"3434","Alkbh5",3764,3471.5
"3435","Alkbh6",478.5,261
"3436","Alkbh7",382,253
"3437","Alkbh8",816,882.5
"3438","Allc",0.5,0
"3439","Alms1",1163.5,1348
"3440","Alms1-ps1",127,120.5
"3441","Alms1-ps2",66,78.5
"3442","Alox12",173,82.5
"3443","Alox12b",2,3.5
"3444","Alox12e",26,31
"3445","Alox15",2,432.5
"3446","Alox5",7.5,219
"3447","Alox5ap",112,47.5
"3448","Alox8",0,0
"3449","Aloxe3",39,26.5
"3450","Alpi",0,0
"3451","Alpk1",7,48
"3452","Alpk2",0,0.5
"3453","Alpk3",1219.5,157.5
"3454","Alpl",13433.5,2733.5
"3455","Alppl2",4.5,9.5
"3456","Als2",1617,1896
"3457","Als2cl",276,672
"3458","Alx1",1.5,29
"3459","Alx3",1,21
"3460","Alx4",1,6
"3461","Alyref",4055.5,3605.5
"3462","Alyref2",71,90
"3463","Amacr",414,373.5
"3464","Ambn",0,0
"3465","Ambp",1,0
"3466","Ambra1",2364,1943.5
"3467","Amd-ps1",186.5,232
"3468","Amd-ps3",648.5,741.5
"3469","Amd-ps4",182,224.5
"3470","Amd-ps5",170.5,205.5
"3471","Amd-ps6",52.5,77.5
"3472","Amd-ps7",111,127.5
"3473","Amd1",1385,1814
"3474","Amd2",2024,2558.5
"3475","Amdhd1",0,3.5
"3476","Amdhd2",790.5,454.5
"3477","Amelx",0,0
"3478","Amer1",752,975.5
"3479","Amer2",1.5,23
"3480","Amer3",0.5,1.5
"3481","Amfr",504,2202.5
"3482","Amh",16.5,12
"3483","Amhr2",127,82
"3484","Amigo1",130.5,148
"3485","Amigo2",18,229.5
"3486","Amigo3",38,27.5
"3487","Ammecr1",702.5,1169
"3488","Ammecr1l",777,1018.5
"3489","Amn",6,36
"3490","Amn1",128,223
"3491","Amot",156.5,2378
"3492","Amotl1",1537,4172
"3493","Amotl2",4620.5,10889
"3494","Ampd1",14,4
"3495","Ampd2",1817,2664
"3496","Ampd3",210,72
"3497","Amph",394,333.5
"3498","Amt",3618,1695
"3499","Amtn",0,0
"3500","Amy1",0.5,1.5
"3501","Amy2-ps1",0,0
"3502","Amy2a1",0,0
"3503","Amy2a2",0,0
"3504","Amy2a3",0,1
"3505","Amy2a4",0,0
"3506","Amy2a5",0,0
"3507","Amy2b",0.5,0
"3508","Amz1",17.5,57.5
"3509","Amz2",631.5,706
"3510","Anapc1",5610,7019.5
"3511","Anapc10",981.5,519.5
"3512","Anapc11",1438.5,1331
"3513","Anapc13",580.5,569.5
"3514","Anapc15",191,212
"3515","Anapc15-ps",0,0
"3516","Anapc16",496,746.5
"3517","Anapc2",3280.5,3394
"3518","Anapc4",2278.5,2511
"3519","Anapc5",9603.5,6859.5
"3520","Anapc7",2422,1769.5
"3521","Ang",3.5,10
"3522","Ang-ps1",0,0
"3523","Ang-ps2",0,0
"3524","Ang-ps3",0,0
"3525","Ang2",0.5,0.5
"3526","Ang4",0,0
"3527","Ang5",0,0
"3528","Ang6",0,0
"3529","Angel1",422.5,435.5
"3530","Angel2",934.5,1080.5
"3531","Angpt1",0,12
"3532","Angpt2",6.5,12
"3533","Angpt4",1.5,3
"3534","Angptl1",2,0
"3535","Angptl2",62,151.5
"3536","Angptl3",1,1
"3537","Angptl4",444,286.5
"3538","Angptl6",47,31.5
"3539","Angptl7",1,5
"3540","Angptl8",11.5,9.5
"3541","Ank",471.5,429.5
"3542","Ank1",8,14.5
"3543","Ank2",78,883
"3544","Ank3",1380.5,1032
"3545","Ankar",1,2
"3546","Ankdd1a",1,1
"3547","Ankdd1b",0,0.5
"3548","Ankef1",1.5,2.5
"3549","Ankfn1",0,0.5
"3550","Ankfy1",2533.5,3069.5
"3551","Ankhd1",3647.5,2488
"3552","Ankib1",688,852.5
"3553","Ankk1",1,2.5
"3554","Ankle1",251.5,238
"3555","Ankle2",2076.5,2430
"3556","Ankmy1",14.5,3
"3557","Ankmy2",1349,812.5
"3558","Ankra2",348.5,520
"3559","Ankrd1",0.5,157
"3560","Ankrd10",3601,2779
"3561","Ankrd11",9275.5,9005.5
"3562","Ankrd12",520,412.5
"3563","Ankrd13a",3460.5,3128.5
"3564","Ankrd13b",223,439
"3565","Ankrd13c",2233,2591.5
"3566","Ankrd13d",129.5,209
"3567","Ankrd16",708.5,540
"3568","Ankrd17",8597,8709
"3569","Ankrd2",0.5,2
"3570","Ankrd22",2,10.5
"3571","Ankrd23",16.5,18
"3572","Ankrd24",539.5,224
"3573","Ankrd26",808.5,832
"3574","Ankrd27",2255,2951
"3575","Ankrd28",4642,5262
"3576","Ankrd29",1,7.5
"3577","Ankrd31",51,27
"3578","Ankrd33",0,0.5
"3579","Ankrd33b",101,139.5
"3580","Ankrd34a",3,21.5
"3581","Ankrd34b",9,27.5
"3582","Ankrd34c",0,0
"3583","Ankrd35",508.5,91
"3584","Ankrd36",13.5,5
"3585","Ankrd37",73.5,85.5
"3586","Ankrd39",105.5,101
"3587","Ankrd40",1493,1746.5
"3588","Ankrd42",34.5,81.5
"3589","Ankrd44",18.5,110
"3590","Ankrd45",182,245.5
"3591","Ankrd46",1104,1173
"3592","Ankrd49",581.5,895
"3593","Ankrd50",750.5,1466.5
"3594","Ankrd52",1401,1577.5
"3595","Ankrd53",14,5
"3596","Ankrd54",465,478
"3597","Ankrd55",0.5,1.5
"3598","Ankrd6",597,684
"3599","Ankrd60",0,0.5
"3600","Ankrd61",19,11
"3601","Ankrd63",0,0.5
"3602","Ankrd65",8.5,3.5
"3603","Ankrd66",0,0.5
"3604","Ankrd7",0,0
"3605","Ankrd9",242.5,227.5
"3606","Anks1",1499.5,1049.5
"3607","Anks1b",10.5,79.5
"3608","Anks3",565.5,548
"3609","Anks4b",0.5,0.5
"3610","Anks6",24,67.5
"3611","Ankub1",0,0
"3612","Ankzf1",823,778
"3613","Anln",9969.5,8951
"3614","Ano1",9,52
"3615","Ano10",112,479.5
"3616","Ano2",0,5
"3617","Ano3",117,356
"3618","Ano4",2,9.5
"3619","Ano5",0.5,39
"3620","Ano6",1071,1671
"3621","Ano7",18.5,16.5
"3622","Ano8",178.5,403.5
"3623","Ano9",1408,880.5
"3624","Anp32-ps",973,548.5
"3625","Anp32a",10623,5748
"3626","Anp32b",8562.5,9564.5
"3627","Anp32b-ps1",1935,2231.5
"3628","Anp32e",7041,6803.5
"3629","Anpep",152.5,404
"3630","Antxr1",58.5,355.5
"3631","Antxr2",1.5,209
"3632","Antxrl",0,0
"3633","Anxa1",132.5,3381
"3634","Anxa10",0.5,2
"3635","Anxa11",2098,2480
"3636","Anxa11os",2,2.5
"3637","Anxa13",0,0.5
"3638","Anxa2",203,6005
"3639","Anxa3",59,4096
"3640","Anxa4",1605.5,893.5
"3641","Anxa5",269.5,2666
"3642","Anxa6",2335.5,4195.5
"3643","Anxa7",4158.5,3257.5
"3644","Anxa8",111.5,71.5
"3645","Anxa9",34.5,19
"3646","Aoah",641.5,179
"3647","Aoc1",0,7.5
"3648","Aoc2",136,83.5
"3649","Aoc3",20,37.5
"3650","Aopep",1138.5,974.5
"3651","Aox1",83,28.5
"3652","Aox2",4.5,0
"3653","Aox3",537.5,29
"3654","Aox4",13,12.5
"3655","Ap1ar",1327.5,1748.5
"3656","Ap1b1",2988,3275.5
"3657","Ap1g1",3305,3369.5
"3658","Ap1g2",727,597
"3659","Ap1m1",1741,1057.5
"3660","Ap1m2",315,1509.5
"3661","Ap1s1",1445.5,1472.5
"3662","Ap1s2",799.5,621.5
"3663","Ap1s3",28.5,282
"3664","Ap2a1",6362.5,4677
"3665","Ap2a2",5131,6102
"3666","Ap2b1",5412,8977.5
"3667","Ap2m1",1800,2035.5
"3668","Ap2m1-ps",3534,4118
"3669","Ap2s1",1565.5,1765
"3670","Ap3b1",5145.5,3063.5
"3671","Ap3b2",1634,500
"3672","Ap3d1",5510.5,3981.5
"3673","Ap3m1",1442.5,1771
"3674","Ap3m1-ps",613,750
"3675","Ap3m2",252,129.5
"3676","Ap3s1",509,504.5
"3677","Ap3s1-ps1",167.5,172.5
"3678","Ap3s1-ps2",280.5,301.5
"3679","Ap3s2",1166,1389
"3680","Ap4b1",68,63.5
"3681","Ap4e1",737.5,699.5
"3682","Ap4m1",1041.5,425.5
"3683","Ap4s1",119,212
"3684","Ap5b1",69.5,133
"3685","Ap5m1",967.5,1021
"3686","Ap5s1",138.5,112.5
"3687","Ap5z1",747.5,535.5
"3688","Apaf1",2288,3443.5
"3689","Apba1",12.5,27.5
"3690","Apba2",42,379
"3691","Apba3",1098,927.5
"3692","Apbb1",659,612
"3693","Apbb1ip",0,11
"3694","Apbb2",1339,829
"3695","Apbb3",601,532
"3696","Apc",5946,4859.5
"3697","Apc-ps1",1.5,1
"3698","Apc2",31,125
"3699","Apcdd1",722.5,164
"3700","Apcs",0,0
"3701","Apeh",1876,1480
"3702","Apela",927.5,843.5
"3703","Apex1",1320.5,1249
"3704","Apex2",516.5,629
"3705","Aph1a",579,618.5
"3706","Aph1b",43,75.5
"3707","Aph1c",48.5,48.5
"3708","Api5",5402,6301.5
"3709","Api5-ps",0,0
"3710","Apip",375,215
"3711","Aplf",428.5,369.5
"3712","Apln",11,123.5
"3713","Aplnr",1,16
"3714","Aplp1",1656.5,1470
"3715","Aplp2",10486.5,11639.5
"3716","Apmap",492.5,461.5
"3717","Apoa1",3.5,1.5
"3718","Apoa2",3,4
"3719","Apoa4",0,0
"3720","Apoa5",0.5,0.5
"3721","Apob",8.5,118.5
"3722","Apobec1",275.5,154.5
"3723","Apobec2",158.5,94.5
"3724","Apobec3",2975,1983.5
"3725","Apobec4",0,0
"3726","Apobr",104,70
"3727","Apoc1",645,186.5
"3728","Apoc2",0,0
"3729","Apoc3",0,0
"3730","Apoc4",4.5,1.5
"3731","Apod",417,27.5
"3732","Apoe",16829.5,8999.5
"3733","Apof",33,5.5
"3734","Apoh",0,0
"3735","Apol10a",0.5,0
"3736","Apol10b",0,1.5
"3737","Apol10c-ps",0,0
"3738","Apol11a",0,0
"3739","Apol11b",0,0
"3740","Apol6",71.5,24.5
"3741","Apol7a",2.5,3
"3742","Apol7b",3.5,13.5
"3743","Apol7c",0.5,0
"3744","Apol7d",23.5,8.5
"3745","Apol7e",0,3.5
"3746","Apol8",6,13
"3747","Apol9a",0,1.5
"3748","Apol9b",0,0
"3749","Apold1",3.5,2.5
"3750","Apom",36.5,4.5
"3751","Apon",4,5.5
"3752","Apoo",171.5,260
"3753","Apoo-ps",242.5,394.5
"3754","Apool",475,553.5
"3755","Apopt1",533.5,373.5
"3756","App",253,3121
"3757","Appbp2",4122.5,3934.5
"3758","Appbp2os",7.5,7
"3759","Appl1",2350.5,2614
"3760","Appl2",625,507
"3761","Aprt",2970,3912.5
"3762","Aprt-ps",58,88.5
"3763","Aptx",324,460.5
"3764","Aqp1",3,2
"3765","Aqp10-ps",1,1.5
"3766","Aqp11",68,56
"3767","Aqp12",0,0
"3768","Aqp2",0,0.5
"3769","Aqp3",2851.5,467
"3770","Aqp4",0.5,2
"3771","Aqp5",4,22.5
"3772","Aqp6",4.5,8
"3773","Aqp7",5,1.5
"3774","Aqp8",8,2
"3775","Aqp9",10,2
"3776","Aqr",5253,7709
"3777","Ar",23,86.5
"3778","Araf",1827,1857.5
"3779","Arap1",1112,1100
"3780","Arap2",437,1356.5
"3781","Arap3",12,817.5
"3782","Arc",725.5,463.5
"3783","Arcn1",3820,5019
"3784","Areg",0,5.5
"3785","Arel1",894,1212
"3786","Arf1",6542,7289
"3787","Arf2",825.5,932.5
"3788","Arf3",5107.5,6107.5
"3789","Arf4",4295,5984
"3790","Arf4os",1,2.5
"3791","Arf5",2421.5,2546.5
"3792","Arf6",2470,2314.5
"3793","Arfgap1",1514.5,1493
"3794","Arfgap2",590.5,555
"3795","Arfgap3",664,330
"3796","Arfgef1",2124.5,3441
"3797","Arfgef2",3497,2741
"3798","Arfgef3",64.5,376
"3799","Arfip1",144.5,159.5
"3800","Arfip2",1099.5,1254.5
"3801","Arfrp1",586,699
"3802","Arg1",1.5,13
"3803","Arg2",14,77.5
"3804","Arglu1",4551.5,4307.5
"3805","Arhgap1",2593,3031.5
"3806","Arhgap10",120,579.5
"3807","Arhgap11a",3302.5,4149.5
"3808","Arhgap12",1752,2172.5
"3809","Arhgap15",0,0
"3810","Arhgap15os",0,0
"3811","Arhgap17",2798.5,1305.5
"3812","Arhgap18",51.5,195.5
"3813","Arhgap19",2503,3389
"3814","Arhgap20",22,19.5
"3815","Arhgap20os",75,63.5
"3816","Arhgap21",3608,4637
"3817","Arhgap22",19,83
"3818","Arhgap23",957,2224.5
"3819","Arhgap24",0,38
"3820","Arhgap25",4.5,1
"3821","Arhgap26",221.5,140.5
"3822","Arhgap27",139.5,578.5
"3823","Arhgap27os1",0,0.5
"3824","Arhgap27os2",0,0
"3825","Arhgap27os3",0.5,3
"3826","Arhgap28",393,953
"3827","Arhgap29",261.5,2457.5
"3828","Arhgap30",962.5,212.5
"3829","Arhgap31",6.5,65.5
"3830","Arhgap32",1916,1692
"3831","Arhgap33",37.5,166.5
"3832","Arhgap33os",65,19.5
"3833","Arhgap35",4109.5,5571.5
"3834","Arhgap36",0,35.5
"3835","Arhgap39",551,602.5
"3836","Arhgap4",210.5,65
"3837","Arhgap40",2.5,1.5
"3838","Arhgap42",991.5,621
"3839","Arhgap44",471,484
"3840","Arhgap45",529,433
"3841","Arhgap5",4820.5,5501
"3842","Arhgap6",1.5,150.5
"3843","Arhgap8",312.5,968.5
"3844","Arhgap9",391.5,153
"3845","Arhgdia",11651.5,13682
"3846","Arhgdib",144,359.5
"3847","Arhgdig",48.5,328.5
"3848","Arhgef1",2778.5,3491.5
"3849","Arhgef10",257.5,529.5
"3850","Arhgef10l",1518.5,483
"3851","Arhgef11",1174,1081
"3852","Arhgef12",2227,1968.5
"3853","Arhgef15",258,138
"3854","Arhgef16",153.5,1043.5
"3855","Arhgef17",1009,2297.5
"3856","Arhgef18",4233.5,2757
"3857","Arhgef19",162.5,122
"3858","Arhgef2",1855.5,2600
"3859","Arhgef25",1127,2000.5
"3860","Arhgef26",284,514
"3861","Arhgef28",40.5,748
"3862","Arhgef3",608.5,611
"3863","Arhgef33",10,5
"3864","Arhgef37",10,31
"3865","Arhgef38",142.5,44
"3866","Arhgef39",471,447.5
"3867","Arhgef4",101.5,202.5
"3868","Arhgef40",93,684.5
"3869","Arhgef5",32.5,1326
"3870","Arhgef6",30.5,55
"3871","Arhgef7",1318.5,1887
"3872","Arhgef9",15.5,85
"3873","Arid1a",8128.5,13097.5
"3874","Arid1b",1607.5,1489
"3875","Arid2",3009.5,5490
"3876","Arid3a",801.5,1485
"3877","Arid3b",2020,2836.5
"3878","Arid3c",3,19.5
"3879","Arid4a",1154,950
"3880","Arid4b",1457,1728.5
"3881","Arid5a",132.5,83.5
"3882","Arid5b",8700.5,3766.5
"3883","Arih1",5283.5,4885
"3884","Arih2",7359.5,2147
"3885","Arl1",1591.5,1463
"3886","Arl10",242.5,321.5
"3887","Arl11",14,1.5
"3888","Arl13a",0.5,1.5
"3889","Arl13b",510.5,644
"3890","Arl14",0,0
"3891","Arl14ep",968.5,897
"3892","Arl14epl",1297.5,123
"3893","Arl15",1515,943.5
"3894","Arl16",154.5,160.5
"3895","Arl2",636,735.5
"3896","Arl2bp",1134.5,1764.5
"3897","Arl3",613.5,315
"3898","Arl4a",751.5,1076.5
"3899","Arl4aos",0,0.5
"3900","Arl4c",83.5,4350.5
"3901","Arl4d",181.5,221
"3902","Arl5a",1486,1850.5
"3903","Arl5b",2201,1968.5
"3904","Arl5c",193.5,97.5
"3905","Arl6",360.5,513
"3906","Arl6ip1",9697.5,8414
"3907","Arl6ip4",1062.5,1093.5
"3908","Arl6ip5",761,1391.5
"3909","Arl6ip6",1719.5,1458.5
"3910","Arl8a",1412.5,1664
"3911","Arl8b",2417.5,2347
"3912","Arl9",1.5,1.5
"3913","Armc1",2209,2360
"3914","Armc10",1993,2144.5
"3915","Armc12",1.5,3
"3916","Armc2",12.5,8.5
"3917","Armc3",0.5,1
"3918","Armc4",0.5,3.5
"3919","Armc5",578,461.5
"3920","Armc6",471.5,709.5
"3921","Armc7",152.5,110.5
"3922","Armc8",1870.5,1661
"3923","Armc9",535.5,454.5
"3924","Armcx1",990.5,979.5
"3925","Armcx2",789.5,1772.5
"3926","Armcx3",63.5,168
"3927","Armcx4",1104,1991.5
"3928","Armcx5",276,330.5
"3929","Armcx6",48,66.5
"3930","Armh1",2.5,2.5
"3931","Armh2",2.5,3.5
"3932","Armh3",709,837.5
"3933","Armh4",411,305
"3934","Armt1",1093.5,1260.5
"3935","Arnt",4131,2712.5
"3936","Arnt2",100.5,397.5
"3937","Arntl",662,402
"3938","Arntl2",53.5,197.5
"3939","Arpc1a",2151.5,2467
"3940","Arpc1b",2673,2215
"3941","Arpc2",5493,5803
"3942","Arpc3",2542,2471
"3943","Arpc4",3786.5,3800.5
"3944","Arpc5",2155.5,3922
"3945","Arpc5l",1129,1436
"3946","Arpin",120.5,97.5
"3947","Arpp19",2738.5,3465.5
"3948","Arpp21",1.5,2
"3949","Arr3",1,1.5
"3950","Arrb1",170.5,1312
"3951","Arrb2",953.5,818
"3952","Arrdc1",262,673
"3953","Arrdc2",351.5,283.5
"3954","Arrdc3",1202.5,2594
"3955","Arrdc4",667,1009
"3956","Arrdc5",1,0
"3957","Arsa",477,634.5
"3958","Arsb",71.5,121.5
"3959","Arsg",54,43.5
"3960","Arsi",4.5,58.5
"3961","Arsj",10,21
"3962","Arsk",116,83
"3963","Art1",6.5,16
"3964","Art2a",0,0
"3965","Art2b",0,0
"3966","Art3",3.5,5
"3967","Art4",2.5,4.5
"3968","Art5",32.5,21
"3969","Artn",5.5,79
"3970","Arv1",211.5,346
"3971","Arvcf",2131,1225.5
"3972","Arx",1.5,5
"3973","Arxes1",275,576.5
"3974","Arxes2",158,295.5
"3975","As3mt",308,78
"3976","Asah1",4877,3641
"3977","Asah2",16.5,75.5
"3978","Asap1",1393.5,1672
"3979","Asap2",1019,749.5
"3980","Asap3",484.5,509.5
"3981","Asb1",556,619.5
"3982","Asb10",8.5,4
"3983","Asb11",9,1.5
"3984","Asb12",0,0.5
"3985","Asb13",123,401.5
"3986","Asb14",5,6.5
"3987","Asb15",0,0
"3988","Asb16",170.5,56.5
"3989","Asb17",0,0
"3990","Asb17os",0,0
"3991","Asb18",1,2
"3992","Asb2",2.5,6
"3993","Asb3",364,425.5
"3994","Asb4",6,13
"3995","Asb5",0,1
"3996","Asb6",1155.5,1246.5
"3997","Asb7",951,728.5
"3998","Asb8",1116.5,572.5
"3999","Asb9",24,0
"4000","Ascc1",898.5,804.5
"4001","Ascc2",1829,1652
"4002","Ascc3",1187.5,2026.5
"4003","Ascl1",2,4
"4004","Ascl2",32.5,68.5
"4005","Ascl3",0,0
"4006","Ascl4",8,14.5
"4007","Ascl5",0,2.5
"4008","Asf1a",837.5,974
"4009","Asf1b",1259.5,955
"4010","Asgr1",2,6
"4011","Asgr2",16.5,6
"4012","Ash1l",1153,1127
"4013","Ash2l",10129,6949.5
"4014","Asic1",249,269.5
"4015","Asic2",2.5,3
"4016","Asic3",15.5,4.5
"4017","Asic4",0,1
"4018","Asic5",0,0
"4019","Asl",1022.5,1177
"4020","Asmt",0,2
"4021","Asna1",6028.5,4581
"4022","Asns",24937.5,6356
"4023","Asnsd1",200,233
"4024","Aspa",263,17
"4025","Aspdh",1,1.5
"4026","Aspg",86,234.5
"4027","Asph",1725,1675.5
"4028","Asphd1",6.5,12
"4029","Asphd2",31.5,199
"4030","Aspm",2664,3157.5
"4031","Aspn",3,3
"4032","Asprv1",18.5,15
"4033","Aspscr1",3454.5,1705.5
"4034","Asrgl1",681,579
"4035","Ass-ps1",0,0
"4036","Ass1",5799.5,1877.5
"4037","Aste1",380.5,263
"4038","Astl",4,4
"4039","Astn1",1,41
"4040","Astn2",0,13
"4041","Astx1a",0,0
"4042","Astx1b",0,0
"4043","Astx1c",0,0
"4044","Astx2",0,0
"4045","Astx3",0,0
"4046","Astx4a",0,0
"4047","Astx4b",0,0
"4048","Astx4c",0,0
"4049","Astx4d",0,0
"4050","Astx5",0,0
"4051","Astx6",0,0
"4052","Asxl1",5791,5545
"4053","Asxl2",2743,2510.5
"4054","Asxl3",25.5,160.5
"4055","Asz1",1.5,2
"4056","Atad1",1598,3098
"4057","Atad2",5463,4540
"4058","Atad2b",4156,2124.5
"4059","Atad3a",3246.5,3260
"4060","Atad3aos",3,3
"4061","Atad5",2214.5,1780
"4062","Atat1",502.5,233
"4063","Atcay",4.5,50.5
"4064","Atcayos",0,0.5
"4065","Ate1",1156,1277.5
"4066","Atf1",2111,1815.5
"4067","Atf1-ps",344,296.5
"4068","Atf2",2533.5,2749
"4069","Atf3",116.5,411.5
"4070","Atf4",7550.5,3572
"4071","Atf5",706,277.5
"4072","Atf6",1109,1422.5
"4073","Atf6b",1581.5,1560
"4074","Atf7",950,686.5
"4075","Atf7ip",3103.5,2423
"4076","Atf7ip2",350.5,400
"4077","Atg10",71.5,43
"4078","Atg101",1220.5,1299.5
"4079","Atg12",1287,1162
"4080","Atg13",3577.5,2226.5
"4081","Atg14",2082,943
"4082","Atg16l1",2248,1837.5
"4083","Atg16l2",369.5,266.5
"4084","Atg2a",2567,2224.5
"4085","Atg2b",1833.5,2103.5
"4086","Atg3",542.5,707
"4087","Atg4a",69,71.5
"4088","Atg4a-ps",41.5,50
"4089","Atg4b",1703,1153
"4090","Atg4c",333,235
"4091","Atg4d",1321.5,679.5
"4092","Atg5",1104.5,1256.5
"4093","Atg7",458,576.5
"4094","Atg9a",348,379.5
"4095","Atg9b",139.5,246
"4096","Atic",5633.5,8929.5
"4097","Atl1",60.5,109
"4098","Atl2",1911.5,3536
"4099","Atl3",2662.5,2345.5
"4100","Atm",2052,2272
"4101","Atmin",4414,2212.5
"4102","Atn1",129,90.5
"4103","Atoh1",4,8
"4104","Atoh7",0.5,1
"4105","Atoh8",0,13
"4106","Atox1",1727,2241.5
"4107","Atp10a",51.5,806
"4108","Atp10b",0,1
"4109","Atp10d",1112,1019.5
"4110","Atp11a",1901,1761.5
"4111","Atp11b",3303,2915
"4112","Atp11c",865.5,729
"4113","Atp12a",25.5,27
"4114","Atp13a1",3164.5,3469
"4115","Atp13a2",1096.5,1222
"4116","Atp13a3",5352,6499.5
"4117","Atp13a4",5.5,14.5
"4118","Atp13a5",0,0
"4119","Atp1a1",15491,14113
"4120","Atp1a2",7,20
"4121","Atp1a3",107.5,493.5
"4122","Atp1a4",1,2.5
"4123","Atp1b1",9199.5,1708
"4124","Atp1b2",384,300
