 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,49,0,0,0,10301,210.224,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,158,0,0,0,32894,208.190,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9025,0,0,0,1886791,209.063,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,49,0,0,0,10323,210.673,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,165,0,0,0,34244,207.539,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,280,0,0,0,58399,208.568,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,79,0,0,0,16460,208.354,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
